Barcode,species,Collector,Collector number,phyllary_length,phyllary_width,primary_axis_leaf_length,primary_axis_leaf_width,secondary_axis_leaf_length,secondary_axis_leaf_width,bract_length,bract_width,auricle_length,primary_axis_hair_length,below_capitulum_hair_length,ray_length,ray_width
MISSA030990,Symphyotrichum adnatum,Majure,3619,5.43,0.86,10.56,1.77,4.92,1.61,2.41,1.05,0,0.41,0,9.11,1.63
MISSA030990,Symphyotrichum adnatum,Majure,3619,5.19,1.1,11.8,2.48,5.73,1.68,1.96,0.54,0,0.64,0,10.43,2.1
MISSA030990,Symphyotrichum adnatum,Majure,3619,4.91,1.13,9.28,2.03,4.89,1.79,2.91,1.24,0,0.31,0,9.95,1.17
MISSA005835,Symphyotrichum adnatum,Fishbein ,4940,3.15,0.75,12.17,2.77,8.5,2.25,2.19,0.96,0,0.32,0.21,12,1.64
MISSA005835,Symphyotrichum adnatum,Fishbein ,4940,2.18,1.05,9.48,2.35,8.35,2.4,2.21,0.84,0,0.29,0.26,10.77,1.96
MISSA005835,Symphyotrichum adnatum,Fishbein ,4940,2.4,1.38,10.75,2.38,6.55,1.99,2.71,0.85,0,0.32,0.16,11.7,1.18
67986,Symphyotrichum bimater,Breedlove,10549,5.98,1.03,15.69,2.89,7.56,1.31,4.35,1.06,0,0.38,0.26,11.68,0.91
67986,Symphyotrichum bimater,Breedlove,10549,5.08,0.84,15.47,2.75,6.53,1.38,4.3,0.72,0,0.52,0.14,12.43,0.7
67986,Symphyotrichum bimater,Breedlove,10549,6.07,0.7,n/a,2.47,7.23,1.32,4.07,0.97,0,0.31,0.18,11.28,0.85
67994,Symphyotrichum bimater,Salomón,3599,6.19,0.77,n/a,n/a,7.71,1.91,3.97,0.92,0,0.3,0.3,11.92,2.2
67994,Symphyotrichum bimater,Salomón,3599,6.59,0.81,n/a,n/a,5.63,1.21,2.81,0.89,0,0.51,0.26,9.18,1.19
67994,Symphyotrichum bimater,Salomón,3599,6.19,1.08,n/a,n/a,6.4,1.25,2.63,0.65,0,0.36,0.16,12.9,1.65
67996,Symphyotrichum bimater,Salomón,1838,7.56,1.09,21.1,3.06,8.7,1.04,3.35,0.96,0,0.36,0.17,11.95,2.25
67996,Symphyotrichum bimater,Salomón,1838,5.99,1.11,34.74,2.73,6.92,0.97,4.37,0.82,0,0.35,0.2,10.15,1.12
67996,Symphyotrichum bimater,Salomón,1838,6.24,0.83,14.79,1.55,8.85,1.62,3.38,0.68,0,0.59,0.19,13.26,1.71
67977,Symphyotrichum bimater,Cruz,660,5.68,1.02,25.13,3.07,7.22,1.41,4.69,0.88,0,0.48,0.15,11.36,1.12
67977,Symphyotrichum bimater,Cruz,660,7.14,1.4,23.02,3.44,8.95,2.02,3.72,0.93,0,0.63,0.12,11.04,1.45
67977,Symphyotrichum bimater,Cruz,660,6.37,1.08,15.77,3.12,8.66,1.48,3.79,0.76,0,0.62,0.21,,
67984,Symphyotrichum bimater,Breedlove,41867,6.37,0.98,26.14,3.34,12.38,1.81,4.53,0.91,0,0.43,0.33,11,1.25
67984,Symphyotrichum bimater,Breedlove,41867,6.25,0.82,31.61,3.43,9.8,1.68,5.41,1.25,0,0.41,0.2,10.78,2.43
67984,Symphyotrichum bimater,Breedlove,41867,5.39,0.94,32.9,4.45,11.27,2.07,5.73,0.87,0,0.53,0.25,,
67537,Symphyotrichum bullatum,Lopez,403,7.12,0.86,62.13,6.44,18.4,3.46,5.29,0.56,0,0,0.37,11.06,1.29
67537,Symphyotrichum bullatum,Lopez,403,6.36,1.08,73.64,7.35,23.79,2.72,4.02,0.68,0,0,0.45,11.26,1.2
67537,Symphyotrichum bullatum,Lopez,403,7.73,1.16,65.59,7.95,23.33,2.77,4.32,0.54,0,0,0.36,10.98,1.11
566392,Symphyotrichum bullatum,Contreras,11034,7.31,0.96,104.61,5.98,30.41,3.56,6.12,0.72,0,0.49,0.56,12.21,1.4
566392,Symphyotrichum bullatum,Contreras,11034,7.61,0.88,105.7,7.36,36.61,3.44,7.43,0.68,0,0.51,0.46,12.77,0.83
566392,Symphyotrichum bullatum,Contreras,11034,6.99,0.75,103.96,6.5,28.53,3.29,4.95,0.82,0,0.38,0.57,13.08,1.55
428968,Symphyotrichum bullatum,Reyes,563,6.86,0.75,39.26,7.36,13.23,0.92,2.64,0.48,0,0.5,0.27,9.59,1.11
428968,Symphyotrichum bullatum,Reyes,563,7.01,0.72,48.63,9.52,17.66,3.1,3.1,0.65,0,0.44,0.31,10.41,0.99
428968,Symphyotrichum bullatum,Reyes,563,6.91,0.79,36.65,4.55,7.62,0.8,2.55,0.52,0,0.41,0.22,10.67,1.07
462582,Symphyotrichum bullatum,Pascual,2668,7.14,0.97,65.19,10.28,38.42,8.59,4.56,0.74,0,0.48,0.19,13.7,1.57
462582,Symphyotrichum bullatum,Pascual,2668,5.12,0.79,60.49,6.68,48.89,7.16,4.98,0.64,0,0.4,0.29,9.14,1.17
462582,Symphyotrichum bullatum,Pascual,2668,5.59,0.83,36.05,11.73,59.63,5.47,2.47,0.85,0,0.55,0.34,12.64,0.62
462579,Symphyotrichum bullatum,Pascual,2051,6.34,0.82,58.21,9.36,7.7,1.04,2.82,0.56,0,0.33,0.25,11.74,1.21
462579,Symphyotrichum bullatum,Pascual,2051,6.01,0.75,53.64,8.5,17.12,1.31,2.42,0.48,0,0.31,0.23,10.92,1.41
462579,Symphyotrichum bullatum,Pascual,2051,5.48,0.65,41.24,7.68,11.02,0.92,2.74,0.46,0,0.53,0.16,9.47,1.08
461311,Symphyotrichum bullatum,Pascual,956,5.64,0.59,96.74,13.21,12.6,1.02,3.89,0.64,0,0.51,0.15,11.27,1.07
461311,Symphyotrichum bullatum,Pascual,956,6.04,0.48,67.73,9.84,7.03,0.82,3.23,0.62,0,0.4,0.2,10.76,1.11
461311,Symphyotrichum bullatum,Pascual,956,5.68,0.66,69.68,8.35,10,1.11,2.47,0.6,0,0.35,0.17,10.54,1.19
461310,Symphyotrichum bullatum,Pascual,897,5.74,0.88,66.23,8.1,4.54,0.91,2.46,0.64,0,0.62,0.21,11.79,1.26
461310,Symphyotrichum bullatum,Pascual,897,6.4,0.7,69.05,10.22,8.62,1.34,3.2,0.72,0,0.41,0.28,10.04,1
461310,Symphyotrichum bullatum,Pascual,897,6.15,0.48,77.9,9.55,6.04,1.05,1.94,0.61,0,0.76,0.25,8.69,0.92
67573,Symphyotrichum carnerosanum,Hinton,23915,7.34,1.63,73.63,16.9,15.73,3.91,6.74,0.68,0,0.42,0.2,13.72,1.4
67573,Symphyotrichum carnerosanum,Hinton,23915,7.45,1.29,59.74,14.02,12.25,2.58,5.27,1.07,0,0.28,0.16,14.61,2.1
67573,Symphyotrichum carnerosanum,Hinton,23915,7-Jul,1.15,57.82,12.34,14.25,3.28,4.4,0.82,0,0.38,0.32,16.43,2.14
67541,Symphyotrichum carnerosanum,Villarreal,6277,6.42,1.72,28.27,12.48,17.08,3.41,15.42,2.56,0,0,0.27,18.99,1.23
67541,Symphyotrichum carnerosanum,Villarreal,6277,6.98,1.38,16.88,4.45,18.73,3.95,12.13,2.53,0,0,0.34,17.93,1.29
67541,Symphyotrichum carnerosanum,Villarreal,6277,7.48,1.86,48.7,6.01,15.6,3.18,9.11,2.12,0,0,0.36,18.39,1.42
67562,Symphyotrichum carnerosanum,Patterson,6366,6.03,1.1,65.1,6.07,12.75,5.9,18.9,2.52,0,0.38,0.26,13.74,1.08
67562,Symphyotrichum carnerosanum,Patterson,6366,3.61,1.09,44.15,11.11,11.22,2.98,6.96,1.61,0,0.25,0.21,14.07,0.71
67562,Symphyotrichum carnerosanum,Patterson,6366,4.52,1.05,37.6,4.52,24.46,2.53,10.1,1.47,0,0.29,0.28,15.38,1.87
67574,Symphyotrichum carnerosanum,Hinton,23909,5.26,1.22,83.24,17.29,13.66,3.06,5.59,1.32,0,0.79,0.23,13.58,1.61
67574,Symphyotrichum carnerosanum,Hinton,23909,3.97,1,62.21,8.1,11.93,3.93,6.12,1.73,0,0.56,0.34,14.13,1.18
67574,Symphyotrichum carnerosanum,Hinton,23909,4.7,0.96,67.88,12.1,14.74,4.11,5.77,1.38,0,0.41,0.58,14.03,1.36
67552,Symphyotrichum carnerosanum,Villarreal,3134,4.33,1.15,18.5,3.97,7.91,2.07,5.26,1.37,0,0.45,0.35,13.09,1.59
67552,Symphyotrichum carnerosanum,Villarreal,3134,4.45,1.21,23,3.07,6.67,1.88,4.62,1.13,0,0.34,0.25,14.61,1.52
67552,Symphyotrichum carnerosanum,Villarreal,3134,5.45,1.18,12.95,2.17,6.06,1.84,5.27,1.38,0,0.47,0.29,13.18,1.76
67560,Symphyotrichum carnerosanum,Hinton,18324,8.35,1.53,29.95,3.06,10.23,2.47,5.42,1.19,0,0.37,0.34,18.25,1.58
67560,Symphyotrichum carnerosanum,Hinton,18324,6.8,0.82,47.43,5.53,12.76,2.22,3.6,0.95,0,0.26,0.25,14.92,1.46
67560,Symphyotrichum carnerosanum,Hinton,18324,6.98,1.28,44.61,6.52,9.03,2.75,4.02,1.23,0,0.32,0.22,16.56,1.41
421827,Symphyotrichum chihuahuensis,Breedlove,63148,8.16,0.98,30.03,3.28,8.76,1.66,6.48,0.85,0,0.51,0.34,19.53,2.13
421827,Symphyotrichum chihuahuensis,Breedlove,63148,7.71,1.11,32.35,5.32,7.16,1.44,4.41,0.94,0,0.35,0.28,17.12,1.22
421827,Symphyotrichum chihuahuensis,Breedlove,63148,8.07,1.14,31.07,4.49,9.81,1.72,5.79,1.19,0,0.37,0.25,17.22,1.36
566379,Symphyotrichum ciliatum,King and Garvey,12359,4.69,1.31,35.82,3.48,28.08,1.94,7.56,0.58,0,0,0,,
566379,Symphyotrichum ciliatum,King and Garvey,12359,6.28,1.12,43.97,2.78,16.3,2.08,11.54,1.01,0,0,0,,
566379,Symphyotrichum ciliatum,King and Garvey,12359,5.17,1.27,48.23,3.1,23.87,1.99,8.02,0.79,0,0,0,,
566378,Symphyotrichum concinnum,Churchill,87416,3.97,0.86,110.17,11.66,19.5,5.49,2.39,0.48,0,0,0,11.05,0.82
566378,Symphyotrichum concinnum,Churchill,87416,3.17,0.79,81.41,8.71,13.61,3.37,2.71,0.73,0,0,0,9.81,1.17
566378,Symphyotrichum concinnum,Churchill,87416,3.99,0.71,109.87,12.19,10.55,2.07,2.57,0.61,0,0,0,8.24,1.14
MISSA030932,Symphyotrichum concolor,Majure,3636,3.05,1.12,19.39,7.14,8.36,3.21,1.77,0.68,0,0,0,11.79,1.18
MISSA030932,Symphyotrichum concolor,Majure,3636,2.77,1.08,23.04,8.07,9.17,4.24,2.81,0.68,0,0,0,12.52,1.72
MISSA030932,Symphyotrichum concolor,Majure,3636,4.4,1.07,19.29,6.47,8.3,3.12,3.19,1.32,0,0,0,12.92,1.84
MISSA030991,Symphyotrichum concolor,Majure,3618,4.38,1.31,34.59,9.32,10.82,3.18,2.6,0.72,0,0,0,12.89,2.25
MISSA030991,Symphyotrichum concolor,Majure,3618,3.72,1.14,33.12,8.55,11.35,4.03,3.33,1.06,0,0,0,15.16,2.56
MISSA030991,Symphyotrichum concolor,Majure,3618,4.94,1.23,27.98,6.58,10.37,3.15,4.36,1.26,0,0,0,13.15,1.89
MISSA005846,Symphyotrichum cordifolium,Ray,4725,5.61,1.23,103.42,50.66,17.85,3.84,21.33,1.61,2.46,0,0,10.2,1.68
MISSA005846,Symphyotrichum cordifolium,Ray,4725,3.24,0.73,52.15,33.62,20.39,2.97,13.28,2.16,5.66,0,0,8.52,1.09
MISSA005846,Symphyotrichum cordifolium,Ray,4725,6.8,0.93,65.32,44.03,22.2,2.75,17.03,2.76,3.92,0,0,7.37,0.72
MISSA005848,Symphyotrichum cordifolium,Fishbein,5484,3.16,0.58,94.41,61.24,24.49,15.61,11.69,3.78,14.55,0,0,12.09,2.42
MISSA005848,Symphyotrichum cordifolium,Fishbein,5484,2.5,0.59,67.32,50.2,16.96,13.55,10.42,5.12,10.68,0,0,10.46,1.62
MISSA005848,Symphyotrichum cordifolium,Fishbein,5484,2.98,0.8,66.66,50.84,16.62,9.72,16.93,8.36,11.04,0,0,11.42,1.64
67580,Symphyotrichum divaricatum,Garcia,763,3.92,0.85,93.03,7.05,15.6,1.65,2.56,0.56,0,0,0,7.33,1.13
67580,Symphyotrichum divaricatum,Garcia,763,4.86,0.9,54.98,1.72,19.25,1.16,2.84,0.79,0,0,0,9.53,0.66
67580,Symphyotrichum divaricatum,Garcia,763,5.91,0.86,62.73,2.46,15.52,1.39,3.75,0.85,0,0,0,10.35,0.75
306642,Symphyotrichum divaricatum,Villareal,8883,5.47,0.55,40.4,3.17,5.42,0.96,1.61,0.75,0,0,0,6.89,0.95
306642,Symphyotrichum divaricatum,Villareal,8883,5.16,0.58,43.9,2.82,5.91,0.99,1.98,0.49,0,0,0,6.12,0.93
306642,Symphyotrichum divaricatum,Villareal,8883,4.38,0.88,37.46,2.84,5.01,0.89,2.52,0.47,0,0,0,6.3,0.92
67582,Symphyotrichum divaricatum,Garcia,763,6.63,0.94,88.48,4.62,13.61,2.12,3.17,0.56,0,0.28,0.2,7.98,1.21
67582,Symphyotrichum divaricatum,Garcia,763,6.34,1.21,102.86,4.38,8.97,1.47,3.38,0.94,0,0.36,0.25,8.61,1.17
67582,Symphyotrichum divaricatum,Garcia,763,5.37,0.97,115.78,4.51,12.55,1.74,3.13,0.87,0,0.32,0.18,7.7,1.14
MISSA031874,Symphyotrichum divaricatum,Mills,45,4.96,1.01,76.21,2.59,70.19,2.02,2.52,0.24,0,0,0,6.93,0.94
MISSA031874,Symphyotrichum divaricatum,Mills,45,4.52,0.82,72.13,2.62,66.31,2.02,2.91,0.36,0,0,0,7.48,1.05
MISSA031874,Symphyotrichum divaricatum,Mills,45,5.03,1.23,86,3.32,36.83,2.92,3.06,0.49,0,0,0,8.07,1.06
67577,Symphyotrichum divaricatum,Dominguez,54,5.78,0.5,42.76,4.7,4.61,0.77,2.31,0.35,0,0,0,9.38,1.18
67577,Symphyotrichum divaricatum,Dominguez,54,5.48,0.75,47.63,5.85,3.19,0.81,2.6,0.43,0,0,0,9.08,1.16
67577,Symphyotrichum divaricatum,Dominguez,54,5.42,0.59,35.22,4.21,5.95,1.21,1.81,0.39,0,0,0,8.74,0.94
67590,Symphyotrichum divaricatum,Hernández,1232,6.07,0.72,55.21,8.56,6.43,1.63,2.41,0.32,0,0.39,0,9.84,1.09
67590,Symphyotrichum divaricatum,Hernández,1232,5.72,0.79,49.75,4.26,3.93,0.79,2.19,0.63,0,0.17,0,7.79,1.13
67590,Symphyotrichum divaricatum,Hernández,1232,5.77,1.01,39.42,5.33,3.38,0.57,3.47,0.58,0,0.41,0,6.97,0.98
