species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,aspect,slope,bulkdensity,claypercent,nitrogen,carbon,ph,sand,silt,coarsefragment,needleleaf,evergreenbroadleaf,deciduousbroadleaf,mixedtrees,shrubs,herbaceous
Symphyotrichum_fontinale,203.091,107.364,46.4545,3780.82,298.091,88.3636,209.727,246.818,169.182,248,151.545,1220.18,211.091,38.8182,53.1818,555.636,136.091,525.909,160.273,5.72727,139.667,0,1192,8.90909,833.3,125.727,57.3636,59.7273,22.2727,1.36364,10.7273,12.9091,4.45455,15,0,9.09091
Symphyotrichum_frondosum,91.1837,160.769,41.8163,7550.46,300.599,-78.585,379.184,72,132.707,190.517,-2.98639,352.653,54.9524,9.55102,43.9592,147.599,38.4218,59.8639,124.075,1525.44,173.5,1.75342,1383.25,19.7603,108.841,28.0822,73.8767,47.2123,32.4178,13.0137,11.7211,0.319728,0,7.28571,33.7755,19.3401
Symphyotrichum_georgianum,150.226,126.419,37.6452,7167.26,307.839,-12.871,320.71,139.258,146.323,240.419,55.3548,1236.03,133.806,79.1613,14.3871,362.935,258.226,316.871,326.419,203.097,147.29,0.741935,1462.32,21.6129,71.5385,22.1613,51.0323,39.6452,35.4194,4.96774,20.8065,0.0967742,15.5484,31.7742,0,1.54839
Symphyotrichum_glabrifolium,56,106.889,46.7778,3420.67,172.111,-28.2222,200.333,22.2222,99,99.8889,11.8889,1078.78,183.556,29.6667,53.2222,510.111,108.111,108.111,486.667,1140.67,159.889,5.11111,831.889,17.8889,286,74.8889,52.8889,44.7778,26.1111,20,0,21.5556,3.55556,26.6667,12.5556,11.4444
Symphyotrichum_graminifolium,148.545,100.364,48.4545,3001.91,245,56.7273,188.273,155.364,122.909,186.182,110.364,1416.27,154.091,84.3636,18.7273,420.909,283.091,395.273,288.727,729.636,158,2.09091,1027.82,37.9091,178.545,41.2727,48.9091,26.2727,27.1818,4,0,11.2727,6.36364,17.0909,11.8182,5.72727
Symphyotrichum_grandiflorum,147.492,127.966,37.4746,7449.47,310.644,-20.5593,331.203,240.678,100.797,241.22,48.5424,1144.49,119.593,77.2203,13.2881,334.542,246.441,334.373,272.915,134.898,173.643,0.40678,1504.25,19.8136,66.4259,21.0169,49.9322,41.7627,36.7458,4.35593,15.2712,0,16.3729,37.7966,0,2.55932
Symphyotrichum_greatae,135.5,136,43.9722,5777.06,302.528,5.5,297.028,74.6944,210.528,214.694,69.0833,524.639,101.472,1.27778,85.5278,290.25,9.41667,20.1389,274.583,1011.81,198.472,6.75,1421.78,22.3333,100.079,26.3056,65.3611,48.1389,26.8333,13.6389,34.6111,0,2.02778,26.2778,28.9722,1.27778
Symphyotrichum_hallii,109.692,112.846,41.9231,4967.81,264.077,8.69231,255.385,52.8077,174.231,175.346,49.3077,1102.19,185,12.8077,62.0769,528.885,71.5,73.8077,484.769,125.846,183.208,0.807692,1340.88,25.0769,185,52.6923,55.5769,27.7692,43.2308,4.15385,19.7692,0.615385,4.57692,10.3846,0,8.42308
Symphyotrichum_hendersonii,44.25,129.15,40,6054.1,226.7,-80.95,307.65,-20.25,122.7,125.1,-27.05,943.5,144.8,19.25,47.6,410.7,84.75,93.85,383.3,1479.3,174.6,4.65,956.1,10.5,254.722,54.7,53.45,44.95,39.75,19.35,66.55,0,0,14.8,2.1,3.45
Symphyotrichum_hesperium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
